player_name,player_type,player_auction_price,retained_status,ipl_team,player_country
Bhagath Varma, Allrounder,20.00Lakh,No,CSK,India
Ajay Jadav Mandal, Allrounder,20.00Lakh,No,CSK,India
Kyle Jamieson,Allrounder,1.00Crore,No,CSK,New Zealand
Nishant Sindhu, Allrounder,60.00Lakh,No,CSK,India
Shaik Rasheed, Batter,20.00Lakh,No,CSK,India
Ajinkya Rahane, Batter,50.00Lakh,No,CSK,India
Ben Stokes,Allrounder,16.25Crore,No,CSK,England
Matheesha Pathirana,Bowler,20.00Lakh,Yes,CSK,Sri Lanka
Mukesh Choudhary, Bowler,20.00Lakh,Yes,CSK,India
Subhranshu Senapati, Batter,20.00Lakh,Yes,CSK,India
Tushar Deshpande, Bowler,20.00Lakh,Yes,CSK,India
Mitchell Santner,Allrounder,1.90Crore,Yes,CSK,New Zealand
Devon Conway,Batter,1.00Crore,Yes,CSK,New Zealand
Prashant Solanki, Bowler,1.20Crore,Yes,CSK,India
Simarjeet Singh, Bowler,20.00Lakh,Yes,CSK,India
Deepak Chahar, Bowler,14.00Crore,Yes,CSK,India
Ambati Rayudu, WK-Batter,6.75Crore,Yes,CSK,India
Rajvardhan Hangargekar, Bowler,1.50Crore,Yes,CSK,India
Maheesh Theekshana,Bowler,70.00Lakh,Yes,CSK,Sri Lanka
Shivam Dube, Allrounder,4.00Crore,Yes,CSK,India
Dwaine Pretorius,Allrounder,50.00Lakh,Yes,CSK,South Africa
Ravindra Jadeja, Allrounder,16.00Crore,Yes,CSK,India
MS Dhoni, WK-Batter,12.00Crore,Yes,CSK,India
Moeen Ali,Allrounder,8.00Crore,Yes,CSK,England
Ruturaj Gaikwad, Batter,6.00Crore,Yes,CSK,India
Sonu Yadav, Allrounder,20.00Lakh,No,RCB,India
Avinash Singh, Bowler,60.00Lakh,No,RCB,India
Rajan Kumar, Bowler,70.00Lakh,No,RCB,India
Manoj Bhandage, Allrounder,20.00Lakh,No,RCB,India
Will Jacks,Allrounder,3.20Crore,No,RCB,England
Himanshu Sharma, Bowler,20.00Lakh,No,RCB,India
Reece Topley,Bowler,1.90Crore,No,RCB,England
Rajat Patidar, Batter,20.00Lakh,Yes,RCB,India
Shahbaz Ahmed, Allrounder,2.40Crore,Yes,RCB,India
Siddarth Kaul, Bowler,75.00Lakh,Yes,RCB,India
Anuj Rawat, WK-Batter,3.40Crore,Yes,RCB,India
Suyash Prabhudessai, Batter,30.00Lakh,Yes,RCB,India
Finn Allen,WK-Batter,80.00Lakh,Yes,RCB,New Zealand
Josh Hazlewood,Bowler,7.75Crore,Yes,RCB,Australia
Mahipal Lomror, Allrounder,95.00Lakh,Yes,RCB,India
Dinesh Karthik, WK-Batter,5.50Crore,Yes,RCB,India
Harshal Patel, Bowler,10.75Crore,Yes,RCB,India
Karn Sharma, Bowler,50.00Lakh,Yes,RCB,India
David Willey,Allrounder,2.00Crore,Yes,RCB,England
Wanindu Hasaranga,Allrounder,10.75Crore,Yes,RCB,Sri Lanka
Faf du Plessis,Batter,7.00Crore,Yes,RCB,South Africa
Mohammed Siraj, Bowler,7.00Crore,Yes,RCB,India
Glenn Maxwell,Allrounder,11.00Crore,Yes,RCB,Australia
Virat Kohli, Batter,15.00Crore,Yes,RCB,India
Akash Deep, Bowler,20.00Lakh,Yes,RCB,India
Rilee Rossouw,Batter,4.60Crore,No,DC,South Africa
Manish Pandey, Batter,2.40Crore,No,DC,India
Mukesh Kumar, Bowler,5.50Crore,No,DC,India
Ishant Sharma, Bowler,50.00Lakh,No,DC,India
